Dimension,ERank,MaxRank
5,41.01209500456691,64
5,41.01209500456691,64
5,41.01209500456691,64
5,41.01209500456691,64
5,41.01209500456691,64
5,41.01209500456691,64
5,41.01209500456691,64
5,41.01209500456691,64
5,41.01209500456691,64
6,96.09346111698152,282
6,96.42503555726972,284
6,96.2593907347847,283
6,96.2593907347847,283
6,96.09346111698152,282
6,96.59039704585776,285
6,96.2593907347847,283
6,96.75547664951392,286
6,96.59039704585776,285
7,188.2506301395673,472
7,186.78727229413235,467
7,188.8926756910484,474
7,188.71384279612755,473
7,186.68188783293047,468
7,188.07171853467528,471
7,187.5025306169312,471
7,185.8608502614132,465
7,186.50307978177543,467
8,266.45640268613914,512
8,266.0438285768112,512
8,267.1708748629717,512
8,265.21864021958714,512
8,266.75846848882554,512
8,266.9329298220672,512
8,264.6320514403346,512
8,268.3447131873557,512
8,267.0137239145119,512
9,349.2004334666486,732
9,344.79236303978666,721
9,348.4312060790361,731
9,351.17875840480656,738
9,343.1766822405706,716
9,346.6306677275119,724
9,348.79474326671726,732
9,346.03652304219395,726
9,347.21063568482674,728
10,424.8461938767144,908
10,416.5061505696616,883
10,424.6094942725985,903
10,430.9045994766485,918
10,418.4398284614942,887
10,422.9027953338291,895
10,423.8266666142498,898
10,424.2669363336208,901
10,424.8976648368296,901
11,471.2434512480434,996
11,475.5554517376409,1000
11,464.4694776534111,981
11,473.1594376722238,1002
11,475.2949271704487,1009
11,476.91044804658,1005
11,470.4616027305922,985
11,482.4237593745024,1017
11,472.2838638258361,1002
12,487.4666210888518,1032
12,503.4980639359131,1055
12,490.7797306876705,1042
12,489.68914851188777,1025
12,495.8383126962466,1039
12,502.5967376062828,1065
12,502.336473596414,1056
12,487.38477924956806,1033
12,507.5476238494572,1064
5,41.01209500456691,64
5,41.01209500456691,64
5,41.01209500456691,64
5,41.01209500456691,64
5,41.01209500456691,64
5,41.01209500456691,64
5,41.01209500456691,64
5,41.01209500456691,64
5,41.01209500456691,64
5,41.01209500456691,64
5,41.01209500456691,64
5,41.01209500456691,64
5,41.01209500456691,64
5,41.01209500456691,64
5,41.01209500456691,64
5,41.01209500456691,64
5,41.01209500456691,64
5,41.01209500456691,64
6,95.92724522983238,281
6,96.2593907347847,283
6,96.2593907347847,283
6,96.75547664951392,286
6,95.59394868743296,279
6,96.2593907347847,283
6,95.92724522983238,281
6,96.09346111698152,282
6,95.92724522983238,281
6,96.42503555726972,284
6,96.09346111698152,282
6,96.42503555726972,284
6,96.59039704585776,285
6,95.7607415865501,280
6,95.7607415865501,280
6,96.09346111698152,282
6,96.2593907347847,283
6,96.42503555726972,284
7,186.9663431282452,468
7,187.6085195085676,470
7,185.2913475071007,465
7,185.57631711281175,465
7,186.60802980600164,466
7,185.50255787145207,463
7,188.35566817255847,471
7,186.60802980600164,466
7,185.93339302768865,467
7,188.74242509293668,470
7,187.14524280055792,469
7,186.68188783293047,468
7,189.1769785375192,474
7,186.9663431282452,468
7,186.03973797232428,466
7,187.32397180094068,470
7,187.6085195085676,470
7,186.21845402212733,467
8,266.0438285768112,512
8,266.52046796449207,512
8,264.5672143870772,512
8,264.5017317323698,512
8,264.9798861007499,512
8,266.8689634986313,512
8,264.9798861007499,512
8,262.85017901267594,511
8,266.10799311988615,512
8,264.1545289352836,512
8,266.75846848882554,512
8,264.69624336626174,512
8,267.757814816041,512
8,265.21864021958714,512
8,265.6312411087291,512
8,265.6312411087291,512
8,267.10727727682945,512
8,266.45640268613914,512
9,352.65800592240214,743
9,350.289557954577,737
9,347.02139851743294,731
9,348.5996067505565,732
9,348.1967027403003,727
9,352.37079869336776,741
9,346.87652124917423,727
9,343.8025585550292,720
9,343.99667910394385,720
9,348.41850102549074,732
9,345.14173414321783,722
9,350.1972108843472,735
9,344.0581104944361,720
9,345.54282644374257,721
9,350.00142798566424,735
9,346.71840430597854,729
9,346.3308365312272,724
9,347.3231006670191,725
10,424.1778289146798,901
10,424.4798346698375,900
10,424.17532479954576,906
10,424.2600146093757,898
10,426.6890878942493,906
10,422.5863561580763,899
10,426.5613785322892,908
10,424.6408362262672,905
10,430.1932143774535,917
10,423.1072242280236,900
10,420.2987631545106,895
10,416.93676476032897,884
10,424.72057856355286,899
10,422.40859703696935,891
10,422.4412854807516,900
10,422.76271042086336,896
10,428.727411238412,910
10,421.64257891639807,895
11,483.276599750828,1016
11,460.5285541746391,966
11,470.830629932078,996
11,470.1577376588843,996
11,478.7099075391091,1009
11,464.68503430117977,983
11,479.4813213089261,1016
11,474.9925163115002,996
11,477.4427382214493,1007
11,471.35941478645066,992
11,467.64085439471967,984
11,476.2063730095248,1006
11,479.6337413435975,1004
11,481.38737291916783,1014
11,472.92953914013685,995
11,477.362694000647,1008
11,465.6758109789402,982
11,472.565676640321,996
12,488.5001534997712,1027
12,494.10573651061554,1040
12,507.9131986474367,1066
12,495.5839819885246,1046
12,489.1148914332024,1035
12,492.9908739776067,1044
12,493.5950577026268,1045
12,479.9195933501048,1023
12,499.60072043174006,1052
12,486.16166824046496,1024
12,496.06631284278063,1048
12,490.3275787514401,1037
12,500.6094067420742,1048
12,494.721998298378,1035
12,485.3162234618864,1024
12,495.5119550616187,1045
12,490.5579358371777,1035
12,501.6800414524276,1056
